Date,MSFT,AAPL,AMZN,SP 500
5/29/13,34.88,15.89,265.53,165.22
5/30/13,35.03,16.13,266.83,165.83
5/31/13,34.9,16.06,269.2,163.45
6/3/13,35.59,16.1,266.88,164.35
6/4/13,34.99,16.05,265.7,163.56
6/5/13,34.78,15.9,267.17,161.27
6/6/13,34.96,15.66,267.83,162.73
6/7/13,35.67,15.78,276.87,164.8
6/10/13,35.47,15.67,281.07,164.8
6/11/13,34.84,15.63,274.78,163.1
6/12/13,35,15.44,271.67,161.75
6/13/13,34.72,15.57,275.79,164.21
6/14/13,34.4,15.36,273.99,163.18
6/17/13,35,15.43,278.06,164.44
6/18/13,34.98,15.42,281.76,165.74
6/19/13,34.59,15.11,278.16,163.45
6/20/13,33.49,14.89,273.44,159.4
6/21/13,33.27,14.77,273.36,159.07
6/24/13,33.72,14.38,270.61,157.06
6/25/13,33.67,14.38,272.09,158.57
6/26/13,34.35,14.22,277.57,160.14
6/27/13,34.62,14.06,277.55,161.08
6/28/13,34.54,14.16,277.69,160.42
7/1/13,34.36,14.62,282.1,161.36
7/2/13,33.94,14.95,283.73,161.21
7/3/13,34.01,15.03,284.03,161.28
7/5/13,34.21,14.91,285.88,163.02
7/8/13,34.33,14.82,290.59,163.95
7/9/13,34.35,15.08,291.53,165.13
7/10/13,34.7,15.03,292.33,165.19
7/11/13,35.69,15.26,299.66,167.44
7/12/13,35.67,15.23,307.55,167.51
7/15/13,36.17,15.27,306.57,168.16
7/16/13,36.27,15.36,306.87,167.52
7/17/13,35.74,15.37,308.69,167.95
7/18/13,35.44,15.42,304.11,168.87
7/19/13,31.4,15.18,305.23,169.17
7/22/13,32.01,15.23,303.48,169.5
7/23/13,31.82,14.96,301.06,169.14
7/24/13,31.96,15.73,298.94,168.52
7/25/13,31.39,15.66,303.4,168.93
7/26/13,31.62,15.75,312.01,169.11
7/29/13,31.54,15.99,306.1,168.59
7/30/13,31.85,16.19,302.41,168.59
7/31/13,31.84,16.16,301.22,168.71
8/1/13,31.67,16.31,305.57,170.66
8/2/13,31.89,16.52,304.21,170.95
8/5/13,31.7,16.77,300.99,170.7
8/6/13,31.58,16.62,300.75,169.73
8/7/13,32.06,16.61,296.91,169.18
8/8/13,32.89,16.46,295.74,169.8
8/9/13,32.7,16.23,297.26,169.31
8/12/13,32.87,16.69,296.69,169.11
8/13/13,32.23,17.48,293.97,169.61
8/14/13,32.35,17.8,291.34,168.74
8/15/13,31.79,17.78,286.47,166.38
8/16/13,31.8,17.94,284.82,165.83
8/19/13,31.39,18.13,285.57,164.77
8/20/13,31.62,17.9,287.09,165.58
8/21/13,31.61,17.94,284.57,164.56
8/22/13,32.39,17.96,289.73,166.06
8/23/13,34.75,17.89,290.01,166.62
8/26/13,34.15,17.96,286.21,166
8/27/13,33.26,17.45,280.93,163.33
8/28/13,33.02,17.53,281.58,163.91
8/29/13,33.55,17.56,283.98,164.17
8/30/13,33.4,17.4,280.98,163.65
9/3/13,31.88,17.45,288.8,164.39
9/4/13,31.2,17.81,293.64,165.75
9/5/13,31.24,17.69,294.1,165.96
9/6/13,31.15,17.79,295.86,166.04
9/9/13,31.66,18.08,299.71,167.63
9/10/13,32.39,17.67,300.36,168.87
9/11/13,32.74,16.7,299.64,169.4
9/12/13,32.69,16.88,298.86,168.95
9/13/13,33.03,16.6,297.92,169.33
9/16/13,32.8,16.08,296.06,170.31
9/17/13,32.93,16.26,304.17,171.07
9/18/13,33.32,16.6,312.03,173.05
9/19/13,33.64,16.87,312.06,172.76
9/20/13,32.79,16.69,316.34,170.72
9/23/13,32.74,17.52,311.49,169.93
9/24/13,32.46,17.47,314.13,169.53
9/25/13,32.51,17.2,312.65,169.04
9/26/13,32.77,17.36,318.12,169.69
9/27/13,33.27,17.24,316.01,168.91
9/30/13,33.28,17.03,312.64,168.01
10/1/13,33.58,17.43,320.95,169.34
10/2/13,33.92,17.48,320.51,169.18
10/3/13,33.86,17.26,314.76,167.62
10/4/13,33.88,17.25,319.04,168.89
10/7/13,33.3,17.42,310.03,167.43
10/8/13,33.01,17.18,303.23,165.48
10/9/13,33.07,17.38,298.23,165.6
10/10/13,33.76,17.49,305.17,169.17
10/11/13,34.13,17.6,310.89,170.26
10/14/13,34.45,17.72,310.7,170.94
10/15/13,34.49,17.81,306.4,169.7
10/16/13,34.64,17.9,310.49,172.07
10/17/13,34.92,18.02,310.77,173.22
10/18/13,34.96,18.17,328.93,174.39
10/21/13,34.99,18.62,326.44,174.4
10/22/13,34.58,18.57,332.54,175.41
10/23/13,33.76,18.75,326.76,174.57
10/24/13,33.72,19,332.21,175.15
10/25/13,35.73,18.78,363.39,175.95
10/28/13,35.57,18.92,358.16,176.23
10/29/13,35.52,18.45,362.7,177.17
10/30/13,35.54,18.75,361.08,176.29
10/31/13,35.41,18.67,364.03,175.79
11/1/13,35.53,18.57,359,176.21
11/4/13,35.94,18.81,358.74,176.83
11/5/13,36.64,18.77,358.89,176.27
11/6/13,38.18,18.6,356.18,177.17
11/7/13,37.5,18.3,343.56,174.93
11/8/13,37.78,18.59,350.31,177.29
11/11/13,37.59,18.54,354.38,177.32
11/12/13,37.36,18.57,349.53,176.96
11/13/13,38.16,18.59,356.22,178.38
11/14/13,38.02,18.86,367.4,179.27
11/15/13,37.84,18.75,369.17,180.05
11/18/13,37.2,18.52,366.18,179.42
11/19/13,36.74,18.56,364.94,179.03
11/20/13,37.08,18.39,362.57,178.47
11/21/13,37.4,18.61,368.92,179.91
11/22/13,37.57,18.56,372.31,180.81
11/25/13,37.64,18.7,376.64,180.63
11/26/13,37.35,19.05,381.37,180.68
11/27/13,37.6,19.5,386.71,181.12
11/29/13,38.13,19.86,393.62,181
12/2/13,38.45,19.69,392.3,180.53
12/3/13,38.31,20.23,384.66,179.75
12/4/13,38.94,20.18,385.96,179.73
12/5/13,38,20.28,384.49,178.94
12/6/13,38.36,20,386.95,180.94
12/9/13,38.71,20.23,384.89,181.4
12/10/13,38.11,20.2,387.78,180.75
12/11/13,37.61,20.05,382.19,178.72
12/12/13,37.22,20.02,381.25,178.13
12/13/13,36.69,19.8,384.24,178.11
12/16/13,36.88,19.91,388.97,179.22
12/17/13,36.52,19.82,387.65,178.65
12/18/13,36.58,19.67,395.96,181.7
12/19/13,36.25,19.45,395.19,181.49
12/20/13,36.8,19.61,402.2,181.56
12/23/13,36.62,20.36,402.92,182.53
12/24/13,37.08,20.27,399.2,182.93
12/26/13,37.44,20.14,404.39,183.86
12/27/13,37.29,20,398.08,183.85
12/30/13,37.29,19.8,393.37,183.82
12/31/13,37.41,20.04,398.79,184.69
1/2/14,37.16,19.75,397.97,182.92
1/3/14,36.91,19.32,396.44,182.89
1/6/14,36.13,19.43,393.63,182.36
1/7/14,36.41,19.29,398.03,183.48
1/8/14,35.76,19.41,401.92,183.52
1/9/14,35.53,19.16,401.01,183.64
1/10/14,36.04,19.03,397.66,184.14
1/13/14,34.98,19.13,390.98,181.69
1/14/14,35.78,19.51,397.54,183.67
1/15/14,36.76,19.91,395.87,184.66
1/16/14,36.89,19.79,395.8,184.42
1/17/14,36.38,19.31,399.61,183.64
1/21/14,36.17,19.61,407.05,184.18
1/22/14,35.93,19.7,404.54,184.3
1/23/14,36.06,19.86,399.87,182.79
1/24/14,36.81,19.5,387.6,178.89
1/27/14,36.03,19.66,386.28,178.01
1/28/14,36.27,18.09,394.43,179.07
1/29/14,36.66,17.88,384.2,177.35
1/30/14,36.86,17.85,403.01,179.23
1/31/14,37.84,17.88,358.69,178.18
2/3/14,36.48,17.91,346.15,174.17
2/4/14,36.35,18.17,347.95,175.39
2/5/14,35.82,18.31,346.45,175.17
2/6/14,36.18,18.3,354.59,177.48
